"Date","Price","Open","High","Low","Vol.","Change %"
"07/15/2022","0.3341","0.3337","0.3487","0.3276","68.40M","0.11%"
"07/14/2022","0.3337","0.3237","0.3339","0.3126","73.20M","3.09%"
"07/13/2022","0.3237","0.3116","0.3258","0.3030","94.94M","3.83%"
"07/12/2022","0.3118","0.3151","0.3181","0.3080","94.70M","-1.06%"
"07/11/2022","0.3151","0.3255","0.3288","0.3108","56.11M","-3.13%"
"07/10/2022","0.3253","0.3448","0.3449","0.3201","39.99M","-5.65%"
"07/09/2022","0.3448","0.3402","0.3476","0.3392","22.30M","1.29%"
"07/08/2022","0.3404","0.3423","0.3588","0.3359","90.33M","-0.65%"
"07/07/2022","0.3426","0.3325","0.3454","0.3270","77.73M","3.08%"
"07/06/2022","0.3323","0.3252","0.3340","0.3201","98.99M","2.19%"
"07/05/2022","0.3252","0.3286","0.3308","0.3131","96.66M","-1.01%"
"07/04/2022","0.3286","0.3215","0.3297","0.3149","47.86M","2.21%"
"07/03/2022","0.3215","0.3157","0.3256","0.3090","25.06M","1.82%"
"07/02/2022","0.3157","0.3139","0.3179","0.3096","32.94M","0.60%"
"07/01/2022","0.3138","0.3320","0.3358","0.3100","60.41M","-5.53%"
"06/30/2022","0.3322","0.3296","0.3329","0.3061","97.62M","0.85%"
"06/29/2022","0.3294","0.3373","0.3416","0.3207","78.76M","-2.39%"
"06/28/2022","0.3374","0.3537","0.3557","0.3354","56.40M","-4.56%"
"06/27/2022","0.3536","0.3592","0.3669","0.3484","32.88M","-1.56%"
"06/26/2022","0.3592","0.3677","0.3749","0.3578","24.25M","-2.31%"
"06/25/2022","0.3677","0.3671","0.3740","0.3542","29.27M","0.16%"
"06/24/2022","0.3671","0.3356","0.3864","0.3350","84.85M","9.36%"
"06/23/2022","0.3357","0.3225","0.3369","0.3215","54.79M","4.11%"
"06/22/2022","0.3224","0.3295","0.3296","0.3190","69.23M","-2.07%"
"06/21/2022","0.3293","0.3226","0.3373","0.3188","70.87M","2.08%"
"06/20/2022","0.3225","0.3263","0.3287","0.3136","41.05M","-1.13%"
"06/19/2022","0.3262","0.3074","0.3323","0.2983","43.48M","6.09%"
"06/18/2022","0.3075","0.3210","0.3262","0.2876","64.57M","-4.22%"
"06/17/2022","0.3210","0.3131","0.3394","0.3104","59.99M","2.56%"
"06/16/2022","0.3130","0.3436","0.3472","0.3072","63.83M","-8.85%"
"06/15/2022","0.3434","0.3213","0.3468","0.2987","102.47M","6.90%"
"06/14/2022","0.3212","0.3115","0.3262","0.2937","78.61M","3.08%"
"06/13/2022","0.3116","0.3431","0.3505","0.3011","106.44M","-9.18%"
"06/12/2022","0.3431","0.3599","0.3652","0.3399","40.84M","-4.54%"
"06/11/2022","0.3595","0.3813","0.3885","0.3558","41.89M","-5.74%"
"06/10/2022","0.3813","0.4002","0.4117","0.3762","54.01M","-4.69%"
"06/09/2022","0.4001","0.4006","0.4041","0.3968","50.17M","-0.13%"
"06/08/2022","0.4006","0.4076","0.4102","0.3947","43.55M","-1.71%"
"06/07/2022","0.4076","0.4026","0.4172","0.3847","66.12M","1.22%"
"06/06/2022","0.4027","0.3953","0.4092","0.3940","33.20M","1.87%"
"06/05/2022","0.3953","0.3925","0.3994","0.3895","17.24M","0.71%"
"06/04/2022","0.3925","0.3903","0.3942","0.3845","18.40M","0.59%"
"06/03/2022","0.3902","0.4053","0.4103","0.3840","51.50M","-3.74%"
"06/02/2022","0.4053","0.3981","0.4070","0.3907","54.24M","1.83%"
"06/01/2022","0.3981","0.4216","0.4264","0.3891","53.40M","-5.57%"
"05/31/2022","0.4216","0.4188","0.4335","0.4068","43.13M","0.72%"
"05/30/2022","0.4185","0.3891","0.4195","0.3868","42.23M","7.57%"
"05/29/2022","0.3891","0.3863","0.3903","0.3796","24.23M","0.71%"
"05/28/2022","0.3863","0.3818","0.3887","0.3807","29.89M","1.18%"
"05/27/2022","0.3818","0.3918","0.4031","0.3764","67.51M","-2.79%"
"05/26/2022","0.3928","0.4061","0.4108","0.3762","62.82M","-3.29%"
"05/25/2022","0.4061","0.4086","0.4133","0.3956","46.58M","-0.64%"
"05/24/2022","0.4087","0.4050","0.4136","0.3909","32.69M","0.99%"
